# This table is a summary of properties of many of the known transiting exoplanets.
#
# name = name of the planet
# RA = right ascension of the system on the sky (in degrees)
# Dec = declination of the system on the sky (in degrees)
# magnitude_J = brightness of the star (in J-band, 1.1-1.3 microns; magnitudes)
# distance = distance to the star, in parsecs
# stellar_mass = mass of the star, in solar masses
# stellar_radius = radius of the star, in solar radii
# stellar_luminosity = luminosity of the star, relative to the Sun
# stellar_temperature = temperature of the star, in K
# planet_mass = mass of planet, in Earth masses
# planet_radius = radius of planet, in Earth radii
# planet_period = period of planet, in days
# planet_semimajor = semimajor axis of planet's orbit, in AU
# planet_heatreceived = the flux of heat received by the planet, in W/m^2 (for comparison, Earth receives 1360 W/m^2 from the Sun)
# transit_depth = the fraction of starlight the planet blocks
#

           name |         RA |        Dec | magnitude_J | distance | stellar_mass | stellar_radius | stellar_luminosity | stellar_temperature | planet_mass |  planet_radius | planet_period | planet_semimajor | planet_heatreceived |     transit_depth
      LHS 1140b |   11.24712 |  -15.27131 |       9.612 |    12.47 |        0.146 |          0.186 |   0.00357017995352 |              3276.0 |        6.65 |           1.43 |      24.73712 |  0.0873586548983 |       640.239202292 |  0.00496866543083
    TRAPPIST-1b | 346.622013 |  -5.041274 |      11.354 |     12.1 |         0.08 |           0.12 |  0.000553263833971 |              2559.0 |        0.79 |          1.086 |    1.51087081 |  0.0114394916986 |       5786.05902162 |  0.00688479044601
    TRAPPIST-1c | 346.622013 |  -5.041274 |      11.354 |     12.1 |         0.08 |           0.12 |  0.000553263833971 |              2559.0 |        1.63 |          1.056 |     2.4218233 |  0.0156693135071 |       3083.87221876 |  0.00650966908384
    TRAPPIST-1d | 346.622013 |  -5.041274 |      11.354 |     12.1 |         0.08 |           0.12 |  0.000553263833971 |              2559.0 |        0.33 |          0.772 |       4.04961 |  0.0220698486185 |       1554.52462442 |  0.00347909010135
    TRAPPIST-1e | 346.622013 |  -5.041274 |      11.354 |     12.1 |         0.08 |           0.12 |  0.000553263833971 |              2559.0 |        0.24 |          0.918 |      6.099615 |  0.0290005065159 |       900.295642001 |  0.00491944872106
    TRAPPIST-1f | 346.622013 |  -5.041274 |      11.354 |     12.1 |         0.08 |           0.12 |  0.000553263833971 |              2559.0 |        0.36 |          1.045 |       9.20669 |  0.0381688405943 |       519.730708559 |  0.00637475732223
    TRAPPIST-1g | 346.622013 |  -5.041274 |      11.354 |     12.1 |         0.08 |           0.12 |  0.000553263833971 |              2559.0 |       0.566 |          1.127 |      12.35294 |  0.0464275955767 |       351.272319919 |  0.00741444943378
    TRAPPIST-1h | 346.622013 |  -5.041274 |      11.354 |     12.1 |         0.08 |           0.12 |  0.000553263833971 |              2559.0 |       0.086 |          0.755 |          20.0 |  0.0652888062798 |       177.631039801 |  0.00332755297965
        55 Cnce | 133.149216 |  28.330818 |       4.768 |    12.53 |         0.91 |           0.94 |     0.577059935834 |              5196.0 |        8.08 |           2.17 |      0.736539 |  0.0154302932334 |       3316932.21859 | 0.000447978661862
     BD+20 594b |  53.650966 |  20.599232 |        9.77 |    152.1 |         0.96 |           0.93 |     0.856550741998 |              5766.0 |        16.3 |           2.23 |       41.6855 |   0.241317472442 |       20129.8061346 | 0.000483322926715
      CoRoT-10b | 291.063708 |   0.746143 |      12.527 |    345.0 |         0.89 |           0.79 |     0.370925777117 |              5075.0 |       874.0 |          10.87 |       13.2406 |   0.115095702107 |       38320.6471354 |   0.0159147006187
      CoRoT-11b | 280.687263 |   5.937688 |      11.589 |    560.0 |         1.27 |           1.37 |      2.89249921706 |              6440.0 |      740.51 |          16.03 |       2.99433 |  0.0438946317035 |       2054539.35008 |   0.0115085200336
      CoRoT-12b | 100.765677 |  -1.296439 |      14.024 |   1150.0 |         1.08 |           1.12 |      1.16570364679 |              5675.0 |     291.438 |          16.14 |      2.828042 |  0.0401542684479 |       989438.377352 |   0.0174567978615
      CoRoT-13b | 102.721137 |  -5.086445 |       13.71 |   1060.0 |         1.09 |           1.01 |      1.14166537486 |              5945.0 |     415.704 |           9.92 |       4.03519 |  0.0507713472823 |       606129.590012 |  0.00810912816302
      CoRoT-14b | 103.424211 |  -5.536037 |      14.321 |   1340.0 |         1.13 |           1.21 |      1.74007707231 |              6035.0 |      2415.4 |          12.22 |       1.51214 |  0.0268958260514 |       3292022.10334 |  0.00857363990023
      CoRoT-16b | 278.524691 |  -6.002595 |      13.496 |    840.0 |          1.1 |           1.19 |      1.29293401259 |              5650.0 |     170.032 |          13.11 |       5.35227 |   0.061977863967 |       460645.872281 |   0.0102024629955
